pdf_path,filename,size_bytes,bundle,subdirectory,repaired,repair_method,pages,repair_error
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\175.pdf,175.pdf,15403212,Part1,,healthy,none_needed,8,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\18.pdf,18.pdf,14657388,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\18.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\181.pdf,181.pdf,1469680,Part1,,healthy,none_needed,28,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\181_test.pdf,181_test.pdf,1469680,Part1,,healthy,none_needed,28,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\183.pdf,183.pdf,462422,Part1,,healthy,none_needed,14,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\186.pdf,186.pdf,2481992,Part1,,healthy,none_needed,305,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\187.pdf,187.pdf,9548838,Part1,,healthy,none_needed,608,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\189.pdf,189.pdf,6561843,Part1,,healthy,none_needed,104,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\19.pdf,19.pdf,30244722,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\19.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\191.pdf,191.pdf,1330253,Part1,,healthy,none_needed,16,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\198.pdf,198.pdf,1834122,Part1,,healthy,none_needed,9,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\2.pdf,2.pdf,22466277,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\2.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\20.pdf,20.pdf,27532475,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\20.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\203.pdf,203.pdf,11960785,Part1,,unrecoverable,none,0,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\204.pdf,204.pdf,2289877,Part1,,healthy,none_needed,254,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\21.pdf,21.pdf,31324864,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\21.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\216.pdf,216.pdf,15658200,Part1,,healthy,none_needed,420,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\22.pdf,22.pdf,4679734,Part1,,healthy,none_needed,419,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\23.pdf,23.pdf,4718592,Part1,,healthy,none_needed,172,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\231.pdf,231.pdf,57294,Part1,,healthy,none_needed,1,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\24.pdf,24.pdf,121956,Part1,,healthy,none_needed,2,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\243.pdf,243.pdf,849240,Part1,,healthy,none_needed,16,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\244.pdf,244.pdf,5096548,Part1,,unrecoverable,none,0,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\245.pdf,245.pdf,1242945,Part1,,healthy,none_needed,369,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\246.pdf,246.pdf,420075,Part1,,healthy,none_needed,8,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\250.pdf,250.pdf,6852310,Part1,,healthy,none_needed,266,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\251.pdf,251.pdf,11017047,Part1,,healthy,none_needed,474,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\252.pdf,252.pdf,1980964,Part1,,healthy,none_needed,20,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\255.pdf,255.pdf,524288,Part1,,repaired,pikepdf_inplace,124,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\259.pdf,259.pdf,266422,Part1,,healthy,none_needed,3,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\260.pdf,260.pdf,1571781,Part1,,healthy,none_needed,66,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\261.pdf,261.pdf,958693,Part1,,healthy,none_needed,3,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\263.pdf,263.pdf,1013298,Part1,,healthy,none_needed,24,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\264.pdf,264.pdf,65549870,Part1,,healthy,none_needed,267,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\265.pdf,265.pdf,985689,Part1,,healthy,none_needed,20,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\267.pdf,267.pdf,1216787,Part1,,healthy,none_needed,17,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\268.pdf,268.pdf,905434,Part1,,healthy,none_needed,2,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\269.pdf,269.pdf,1189726,Part1,,healthy,none_needed,38,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\270.pdf,270.pdf,1613521,Part1,,healthy,none_needed,13,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\271.pdf,271.pdf,1528366,Part1,,healthy,none_needed,311,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\272.pdf,272.pdf,425076,Part1,,healthy,none_needed,8,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\274.pdf,274.pdf,11726247,Part1,,healthy,none_needed,397,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\275.pdf,275.pdf,10883169,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\275.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\276.pdf,276.pdf,6488098,Part1,,healthy,none_needed,682,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\277.pdf,277.pdf,6342104,Part1,,unrecoverable,none,0,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\286.pdf,286.pdf,192875,Part1,,healthy,none_needed,5,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\289.pdf,289.pdf,960696,Part1,,healthy,none_needed,33,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\29.pdf,29.pdf,542511,Part1,,healthy,none_needed,55,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\299.pdf,299.pdf,4278384,Part1,,unrecoverable,none,0,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\3.pdf,3.pdf,14512488,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\3.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\30.pdf,30.pdf,736278,Part1,,healthy,none_needed,5,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\305.pdf,305.pdf,1326930,Part1,,healthy,none_needed,12,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\307.pdf,307.pdf,1665715,Part1,,healthy,none_needed,21,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\308.pdf,308.pdf,18123589,Part1,,healthy,none_needed,194,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\309.pdf,309.pdf,1573462,Part1,,healthy,none_needed,203,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\31.pdf,31.pdf,20702808,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\31.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\314.pdf,314.pdf,438295,Part1,,healthy,none_needed,32,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\317.pdf,317.pdf,746891,Part1,,healthy,none_needed,14,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\32.pdf,32.pdf,3061653,Part1,,healthy,none_needed,372,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\321.pdf,321.pdf,1355570,Part1,,healthy,none_needed,23,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\322.pdf,322.pdf,2443128,Part1,,healthy,none_needed,51,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\325.pdf,325.pdf,742975,Part1,,healthy,none_needed,6,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\327.pdf,327.pdf,6815744,Part1,,healthy,none_needed,228,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\33.pdf,33.pdf,3061653,Part1,,healthy,none_needed,372,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\330.pdf,330.pdf,5072593,Part1,,healthy,none_needed,431,
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\331.pdf,331.pdf,33312971,Part1,,unrecoverable,none,0,Failed to open file 'D:\\Arcanum\\Projects\\Foodberg\\Inputs\\2026.04.12 Foodberg Pdfs Part 1\\2026.04.12 Foodberg Pdfs\\331.pdf' as type pdf.
D:\Arcanum\Projects\Foodberg\Inputs\2026.04.12 Foodberg Pdfs Part 1\2026.04.12 Foodberg Pdfs\333.pdf,333.pdf,5896634,Part1,,unrecoverable,none,0,
