commodity,attribute,attribute_id,unit,n_rows,additive_across_countries
"Dairy, Dry Whole Milk Powder",Production,028,(1000 MT),966,True
"Dairy, Dry Whole Milk Powder",Total Distribution,178,(1000 MT),966,True
"Dairy, Dry Whole Milk Powder",Total Supply,086,(1000 MT),966,True
"Dairy, Dry Whole Milk Powder",Total Use,174,(1000 MT),966,True
"Dairy, Milk, Fluid",Cows In Milk,006,(1000 HEAD),1980,True
"Dairy, Milk, Fluid",Cows Milk Production,032,(1000 MT),1980,True
"Dairy, Milk, Fluid",Domestic Consumption,125,(1000 MT),1980,True
"Dairy, Milk, Fluid",Exports,088,(1000 MT),1980,True
"Dairy, Milk, Fluid",Factory Use Consum.,147,(1000 MT),1980,True
"Dairy, Milk, Fluid",Feed Use Dom. Consum.,158,(1000 MT),1980,True
"Dairy, Milk, Fluid",Fluid Use Dom. Consum.,131,(1000 MT),1980,True
"Dairy, Milk, Fluid",Imports,057,(1000 MT),1980,True
"Dairy, Milk, Fluid",Other Milk Production,049,(1000 MT),1980,True
"Dairy, Milk, Fluid",Production,028,(1000 MT),1980,True
"Dairy, Milk, Fluid",Total Distribution,178,(1000 MT),1980,True
"Dairy, Milk, Fluid",Total Supply,086,(1000 MT),1980,True
"Dairy, Milk, Nonfat Dry",Beginning Stocks,020,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Domestic Consumption,125,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Ending Stocks,176,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Exports,088,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Imports,057,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Production,028,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Total Distribution,178,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Total Supply,086,(1000 MT),1966,True
"Dairy, Milk, Nonfat Dry",Total Use,174,(1000 MT),1966,True
"Meal, Copra",Beginning Stocks,020,(1000 MT),1624,True
"Meal, Copra",Crush,007,(1000 MT),1624,True
"Meal, Copra",Domestic Consumption,125,(1000 MT),1624,True
"Meal, Copra",Ending Stocks,176,(1000 MT),1624,True
"Meal, Copra",Exports,088,(1000 MT),1624,True
"Meal, Copra","Extr. Rate, 999.9999",181,(PERCENT),1561,False
"Meal, Copra",Feed Waste Dom. Cons.,161,(1000 MT),1624,True
"Meal, Copra",Food Use Dom. Cons.,149,(1000 MT),1624,True
"Meal, Copra",Imports,057,(1000 MT),1624,True
"Meal, Copra",Industrial Dom. Cons.,140,(1000 MT),1624,True
"Meal, Copra",Production,028,(1000 MT),1624,True
"Meal, Copra",SME,194,(1000 MT),1624,True
"Meal, Copra",Total Distribution,178,(1000 MT),1624,True
"Meal, Copra",Total Supply,086,(1000 MT),1624,True
"Meal, Cottonseed",Beginning Stocks,020,(1000 MT),2867,True
"Meal, Cottonseed",Crush,007,(1000 MT),2867,True
"Meal, Cottonseed",Domestic Consumption,125,(1000 MT),2867,True
"Meal, Cottonseed",Ending Stocks,176,(1000 MT),2867,True
"Meal, Cottonseed",Exports,088,(1000 MT),2867,True
"Meal, Cottonseed","Extr. Rate, 999.9999",181,(PERCENT),2806,False
"Meal, Cottonseed",Feed Waste Dom. Cons.,161,(1000 MT),2867,True
"Meal, Cottonseed",Food Use Dom. Cons.,149,(1000 MT),2867,True
"Meal, Cottonseed",Imports,057,(1000 MT),2867,True
"Meal, Cottonseed",Industrial Dom. Cons.,140,(1000 MT),2867,True
"Meal, Cottonseed",Production,028,(1000 MT),2867,True
"Meal, Cottonseed",SME,194,(1000 MT),2867,True
"Meal, Cottonseed",Total Distribution,178,(1000 MT),2867,True
"Meal, Cottonseed",Total Supply,086,(1000 MT),2867,True
"Meal, Fish",Beginning Stocks,020,(1000 MT),2168,True
"Meal, Fish",Catch For Reduction,005,(1000 MT),2168,True
"Meal, Fish",Domestic Consumption,125,(1000 MT),2168,True
"Meal, Fish",Ending Stocks,176,(1000 MT),2168,True
"Meal, Fish",Exports,088,(1000 MT),2168,True
"Meal, Fish","Extr. Rate, 999.9999",181,(PERCENT),2106,False
"Meal, Fish",Feed Waste Dom. Cons.,161,(1000 MT),2168,True
"Meal, Fish",Food Use Dom. Cons.,149,(1000 MT),2168,True
"Meal, Fish",Imports,057,(1000 MT),2168,True
"Meal, Fish",Industrial Dom. Cons.,140,(1000 MT),2168,True
"Meal, Fish",Production,028,(1000 MT),2168,True
"Meal, Fish",SME,194,(1000 MT),2168,True
"Meal, Fish",Total Distribution,178,(1000 MT),2168,True
"Meal, Fish",Total Supply,086,(1000 MT),2168,True
"Meal, Palm Kernel",Beginning Stocks,020,(1000 MT),1774,True
"Meal, Palm Kernel",Crush,007,(1000 MT),1774,True
"Meal, Palm Kernel",Domestic Consumption,125,(1000 MT),1774,True
"Meal, Palm Kernel",Ending Stocks,176,(1000 MT),1774,True
"Meal, Palm Kernel",Exports,088,(1000 MT),1774,True
"Meal, Palm Kernel","Extr. Rate, 999.9999",181,(PERCENT),1708,False
"Meal, Palm Kernel",Feed Waste Dom. Cons.,161,(1000 MT),1774,True
"Meal, Palm Kernel",Food Use Dom. Cons.,149,(1000 MT),1774,True
"Meal, Palm Kernel",Imports,057,(1000 MT),1774,True
"Meal, Palm Kernel",Industrial Dom. Cons.,140,(1000 MT),1774,True
"Meal, Palm Kernel",Production,028,(1000 MT),1774,True
"Meal, Palm Kernel",SME,194,(1000 MT),1774,True
"Meal, Palm Kernel",Total Distribution,178,(1000 MT),1774,True
"Meal, Palm Kernel",Total Supply,086,(1000 MT),1774,True
"Meal, Peanut",Beginning Stocks,020,(1000 MT),1959,True
"Meal, Peanut",Crush,007,(1000 MT),1959,True
"Meal, Peanut",Domestic Consumption,125,(1000 MT),1959,True
"Meal, Peanut",Ending Stocks,176,(1000 MT),1959,True
"Meal, Peanut",Exports,088,(1000 MT),1959,True
"Meal, Peanut","Extr. Rate, 999.9999",181,(PERCENT),1904,False
"Meal, Peanut",Feed Waste Dom. Cons.,161,(1000 MT),1959,True
"Meal, Peanut",Food Use Dom. Cons.,149,(1000 MT),1959,True
"Meal, Peanut",Imports,057,(1000 MT),1959,True
"Meal, Peanut",Industrial Dom. Cons.,140,(1000 MT),1959,True
"Meal, Peanut",Production,028,(1000 MT),1959,True
"Meal, Peanut",SME,194,(1000 MT),1959,True
"Meal, Peanut",Total Distribution,178,(1000 MT),1959,True
"Meal, Peanut",Total Supply,086,(1000 MT),1959,True
"Meal, Rapeseed",Beginning Stocks,020,(1000 MT),2123,True
"Meal, Rapeseed",Crush,007,(1000 MT),2123,True
"Meal, Rapeseed",Domestic Consumption,125,(1000 MT),2123,True
"Meal, Rapeseed",Ending Stocks,176,(1000 MT),2123,True
"Meal, Rapeseed",Exports,088,(1000 MT),2123,True
"Meal, Rapeseed","Extr. Rate, 999.9999",181,(PERCENT),2060,False
"Meal, Rapeseed",Feed Waste Dom. Cons.,161,(1000 MT),2123,True
"Meal, Rapeseed",Food Use Dom. Cons.,149,(1000 MT),2123,True
"Meal, Rapeseed",Imports,057,(1000 MT),2123,True
"Meal, Rapeseed",Industrial Dom. Cons.,140,(1000 MT),2123,True
"Meal, Rapeseed",Production,028,(1000 MT),2123,True
"Meal, Rapeseed",SME,194,(1000 MT),2123,True
"Meal, Rapeseed",Total Distribution,178,(1000 MT),2123,True
"Meal, Rapeseed",Total Supply,086,(1000 MT),2123,True
"Meal, Soybean",Beginning Stocks,020,(1000 MT),4833,True
"Meal, Soybean",Crush,007,(1000 MT),4833,True
"Meal, Soybean",Domestic Consumption,125,(1000 MT),4833,True
"Meal, Soybean",Ending Stocks,176,(1000 MT),4833,True
"Meal, Soybean",Exports,088,(1000 MT),4833,True
"Meal, Soybean","Extr. Rate, 999.9999",181,(PERCENT),4770,False
"Meal, Soybean",Feed Waste Dom. Cons.,161,(1000 MT),4833,True
"Meal, Soybean",Food Use Dom. Cons.,149,(1000 MT),4833,True
"Meal, Soybean",Imports,057,(1000 MT),4833,True
"Meal, Soybean",Industrial Dom. Cons.,140,(1000 MT),4833,True
"Meal, Soybean",Production,028,(1000 MT),4833,True
"Meal, Soybean",SME,194,(1000 MT),4833,True
"Meal, Soybean",Total Distribution,178,(1000 MT),4833,True
"Meal, Soybean",Total Supply,086,(1000 MT),4833,True
"Meal, Soybean (Local)",Beginning Stocks,020,(1000 MT),189,True
"Meal, Soybean (Local)",Crush,007,(1000 MT),189,True
"Meal, Soybean (Local)",Domestic Consumption,125,(1000 MT),189,True
"Meal, Soybean (Local)",Ending Stocks,176,(1000 MT),189,True
"Meal, Soybean (Local)",Exports,088,(1000 MT),189,True
"Meal, Soybean (Local)","Extr. Rate, 999.9999",181,(PERCENT),126,False
"Meal, Soybean (Local)",Feed Waste Dom. Cons.,161,(1000 MT),189,True
"Meal, Soybean (Local)",Food Use Dom. Cons.,149,(1000 MT),189,True
"Meal, Soybean (Local)",Imports,057,(1000 MT),189,True
"Meal, Soybean (Local)",Industrial Dom. Cons.,140,(1000 MT),189,True
"Meal, Soybean (Local)",Production,028,(1000 MT),189,True
"Meal, Soybean (Local)",SME,194,(1000 MT),189,True
"Meal, Soybean (Local)",Total Distribution,178,(1000 MT),189,True
"Meal, Soybean (Local)",Total Supply,086,(1000 MT),189,True
"Meal, Sunflowerseed",Beginning Stocks,020,(1000 MT),2035,True
"Meal, Sunflowerseed",Crush,007,(1000 MT),2035,True
"Meal, Sunflowerseed",Domestic Consumption,125,(1000 MT),2035,True
"Meal, Sunflowerseed",Ending Stocks,176,(1000 MT),2035,True
"Meal, Sunflowerseed",Exports,088,(1000 MT),2035,True
"Meal, Sunflowerseed","Extr. Rate, 999.9999",181,(PERCENT),1972,False
"Meal, Sunflowerseed",Feed Waste Dom. Cons.,161,(1000 MT),2035,True
"Meal, Sunflowerseed",Food Use Dom. Cons.,149,(1000 MT),2035,True
"Meal, Sunflowerseed",Imports,057,(1000 MT),2035,True
"Meal, Sunflowerseed",Industrial Dom. Cons.,140,(1000 MT),2035,True
"Meal, Sunflowerseed",Production,028,(1000 MT),2035,True
"Meal, Sunflowerseed",SME,194,(1000 MT),2035,True
"Meal, Sunflowerseed",Total Distribution,178,(1000 MT),2035,True
"Meal, Sunflowerseed",Total Supply,086,(1000 MT),2035,True
"Meat, Beef and Veal",Beginning Stocks,020,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Domestic Consumption,125,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Ending Stocks,176,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Exports,088,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Imports,057,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Production,028,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Total Distribution,178,(1000 MT CWE),3606,True
"Meat, Beef and Veal",Total Supply,086,(1000 MT CWE),3606,True
"Meat, Chicken",Beginning Stocks,020,(1000 MT),1319,True
"Meat, Chicken",Domestic Consumption,125,(1000 MT),1319,True
"Meat, Chicken",Ending Stocks,176,(1000 MT),1319,True
"Meat, Chicken",Exports,088,(1000 MT),1319,True
"Meat, Chicken",Imports,057,(1000 MT),1319,True
"Meat, Chicken",Production,028,(1000 MT),1319,True
"Meat, Chicken",Total Distribution,178,(1000 MT),1319,True
"Meat, Chicken",Total Supply,086,(1000 MT),1319,True
"Meat, Chicken",Total Use,174,(1000 MT),1319,True
"Meat, Swine",Annual % Change Per Cap. Cons.,220,(PERCENT),1218,False
"Meat, Swine",Beginning Stocks,020,(1000 MT CWE),3240,True
"Meat, Swine",Domestic Consumption,125,(1000 MT CWE),3240,True
"Meat, Swine",Ending Stocks,176,(1000 MT CWE),3240,True
"Meat, Swine",Exports,088,(1000 MT CWE),3240,True
"Meat, Swine",Imports,057,(1000 MT CWE),3240,True
"Meat, Swine",Production,028,(1000 MT CWE),3240,True
"Meat, Swine",Total Distribution,178,(1000 MT CWE),3240,True
"Meat, Swine",Total Supply,086,(1000 MT CWE),3240,True
Millet,Area Harvested,004,(1000 HA),3228,True
Millet,Beginning Stocks,020,(1000 MT),3228,True
Millet,Domestic Consumption,125,(1000 MT),3228,True
Millet,Ending Stocks,176,(1000 MT),3228,True
Millet,Exports,088,(1000 MT),3228,True
Millet,FSI Consumption,192,(1000 MT),3228,True
Millet,Feed Dom. Consumption,130,(1000 MT),3228,True
Millet,Imports,057,(1000 MT),3228,True
Millet,Production,028,(1000 MT),3228,True
Millet,TY Exports,113,(1000 MT),3228,True
Millet,TY Imp. from U.S.,084,(1000 MT),3228,True
Millet,TY Imports,081,(1000 MT),3228,True
Millet,Total Distribution,178,(1000 MT),3228,True
Millet,Total Supply,086,(1000 MT),3228,True
Millet,Yield,184,(MT/HA),3161,False
Mixed Grain,Area Harvested,004,(1000 HA),498,True
Mixed Grain,Beginning Stocks,020,(1000 MT),498,True
Mixed Grain,Domestic Consumption,125,(1000 MT),498,True
Mixed Grain,Ending Stocks,176,(1000 MT),498,True
Mixed Grain,Exports,088,(1000 MT),498,True
Mixed Grain,FSI Consumption,192,(1000 MT),498,True
Mixed Grain,Feed Dom. Consumption,130,(1000 MT),498,True
Mixed Grain,Imports,057,(1000 MT),498,True
Mixed Grain,Production,028,(1000 MT),498,True
Mixed Grain,TY Exports,113,(1000 MT),498,True
Mixed Grain,TY Imp. from U.S.,084,(1000 MT),498,True
Mixed Grain,TY Imports,081,(1000 MT),498,True
Mixed Grain,Total Distribution,178,(1000 MT),498,True
Mixed Grain,Total Supply,086,(1000 MT),498,True
Mixed Grain,Yield,184,(MT/HA),431,False
Oats,Area Harvested,004,(1000 HA),2249,True
Oats,Beginning Stocks,020,(1000 MT),2249,True
Oats,Domestic Consumption,125,(1000 MT),2249,True
Oats,Ending Stocks,176,(1000 MT),2249,True
Oats,Exports,088,(1000 MT),2249,True
Oats,FSI Consumption,192,(1000 MT),2249,True
Oats,Feed Dom. Consumption,130,(1000 MT),2249,True
Oats,Imports,057,(1000 MT),2249,True
Oats,Production,028,(1000 MT),2249,True
Oats,TY Exports,113,(1000 MT),2249,True
Oats,TY Imp. from U.S.,084,(1000 MT),2249,True
Oats,TY Imports,081,(1000 MT),2249,True
Oats,Total Distribution,178,(1000 MT),2249,True
Oats,Total Supply,086,(1000 MT),2249,True
Oats,Yield,184,(MT/HA),2182,False
"Oil, Coconut",Beginning Stocks,020,(1000 MT),2280,True
"Oil, Coconut",Crush,007,(1000 MT),2280,True
"Oil, Coconut",Domestic Consumption,125,(1000 MT),2280,True
"Oil, Coconut",Ending Stocks,176,(1000 MT),2280,True
"Oil, Coconut",Exports,088,(1000 MT),2280,True
"Oil, Coconut","Extr. Rate, 999.9999",181,(PERCENT),2217,False
"Oil, Coconut",Feed Waste Dom. Cons.,161,(1000 MT),2280,True
"Oil, Coconut",Food Use Dom. Cons.,149,(1000 MT),2280,True
"Oil, Coconut",Imports,057,(1000 MT),2280,True
"Oil, Coconut",Industrial Dom. Cons.,140,(1000 MT),2280,True
"Oil, Coconut",Production,028,(1000 MT),2280,True
"Oil, Coconut",Total Distribution,178,(1000 MT),2280,True
"Oil, Coconut",Total Supply,086,(1000 MT),2280,True
"Oil, Cottonseed",Beginning Stocks,020,(1000 MT),2853,True
"Oil, Cottonseed",Crush,007,(1000 MT),2854,True
"Oil, Cottonseed",Domestic Consumption,125,(1000 MT),2853,True
"Oil, Cottonseed",Ending Stocks,176,(1000 MT),2853,True
"Oil, Cottonseed",Exports,088,(1000 MT),2853,True
"Oil, Cottonseed","Extr. Rate, 999.9999",181,(PERCENT),2792,False
"Oil, Cottonseed",Feed Waste Dom. Cons.,161,(1000 MT),2853,True
"Oil, Cottonseed",Food Use Dom. Cons.,149,(1000 MT),2853,True
"Oil, Cottonseed",Imports,057,(1000 MT),2853,True
"Oil, Cottonseed",Industrial Dom. Cons.,140,(1000 MT),2853,True
"Oil, Cottonseed",Production,028,(1000 MT),2853,True
"Oil, Cottonseed",Total Distribution,178,(1000 MT),2853,True
"Oil, Cottonseed",Total Supply,086,(1000 MT),2853,True
"Oil, Olive",Beginning Stocks,020,(1000 MT),1471,True
"Oil, Olive",Domestic Consumption,125,(1000 MT),1471,True
"Oil, Olive",Ending Stocks,176,(1000 MT),1471,True
"Oil, Olive",Exports,088,(1000 MT),1471,True
"Oil, Olive",Feed Waste Dom. Cons.,161,(1000 MT),1471,True
"Oil, Olive",Food Use Dom. Cons.,149,(1000 MT),1471,True
"Oil, Olive",Imports,057,(1000 MT),1471,True
"Oil, Olive",Industrial Dom. Cons.,140,(1000 MT),1471,True
"Oil, Olive",Production,028,(1000 MT),1471,True
"Oil, Olive",Total Distribution,178,(1000 MT),1471,True
"Oil, Olive",Total Supply,086,(1000 MT),1471,True
"Oil, Palm",Area Harvested,004,(1000 HA),4215,True
"Oil, Palm",Beginning Stocks,020,(1000 MT),4215,True
"Oil, Palm",Domestic Consumption,125,(1000 MT),4215,True
"Oil, Palm",Ending Stocks,176,(1000 MT),4215,True
"Oil, Palm",Exports,088,(1000 MT),4215,True
"Oil, Palm",Feed Waste Dom. Cons.,161,(1000 MT),4215,True
"Oil, Palm",Food Use Dom. Cons.,149,(1000 MT),4215,True
"Oil, Palm",Imports,057,(1000 MT),4215,True
"Oil, Palm",Industrial Dom. Cons.,140,(1000 MT),4215,True
"Oil, Palm",Production,028,(1000 MT),4215,True
"Oil, Palm",Total Distribution,178,(1000 MT),4215,True
"Oil, Palm",Total Supply,086,(1000 MT),4215,True
"Oil, Palm",Yield,184,(MT/HA),4152,False
"Oil, Palm Kernel",Beginning Stocks,020,(1000 MT),2271,True
"Oil, Palm Kernel",Crush,007,(1000 MT),2271,True
"Oil, Palm Kernel",Domestic Consumption,125,(1000 MT),2271,True
"Oil, Palm Kernel",Ending Stocks,176,(1000 MT),2271,True
"Oil, Palm Kernel",Exports,088,(1000 MT),2271,True
"Oil, Palm Kernel","Extr. Rate, 999.9999",181,(PERCENT),2205,False
"Oil, Palm Kernel",Feed Waste Dom. Cons.,161,(1000 MT),2271,True
"Oil, Palm Kernel",Food Use Dom. Cons.,149,(1000 MT),2271,True
"Oil, Palm Kernel",Imports,057,(1000 MT),2271,True
"Oil, Palm Kernel",Industrial Dom. Cons.,140,(1000 MT),2271,True
"Oil, Palm Kernel",Production,028,(1000 MT),2271,True
"Oil, Palm Kernel",Total Distribution,178,(1000 MT),2271,True
"Oil, Palm Kernel",Total Supply,086,(1000 MT),2271,True
"Oil, Peanut",Beginning Stocks,020,(1000 MT),2024,True
"Oil, Peanut",Crush,007,(1000 MT),2024,True
"Oil, Peanut",Domestic Consumption,125,(1000 MT),2024,True
"Oil, Peanut",Ending Stocks,176,(1000 MT),2024,True
"Oil, Peanut",Exports,088,(1000 MT),2024,True
"Oil, Peanut","Extr. Rate, 999.9999",181,(PERCENT),1969,False
"Oil, Peanut",Feed Waste Dom. Cons.,161,(1000 MT),2024,True
"Oil, Peanut",Food Use Dom. Cons.,149,(1000 MT),2024,True
"Oil, Peanut",Imports,057,(1000 MT),2024,True
"Oil, Peanut",Industrial Dom. Cons.,140,(1000 MT),2024,True
"Oil, Peanut",Production,028,(1000 MT),2024,True
"Oil, Peanut",Total Distribution,178,(1000 MT),2024,True
"Oil, Peanut",Total Supply,086,(1000 MT),2024,True
"Oil, Rapeseed",Beginning Stocks,020,(1000 MT),2454,True
"Oil, Rapeseed",Crush,007,(1000 MT),2454,True
"Oil, Rapeseed",Domestic Consumption,125,(1000 MT),2454,True
"Oil, Rapeseed",Ending Stocks,176,(1000 MT),2454,True
"Oil, Rapeseed",Exports,088,(1000 MT),2454,True
"Oil, Rapeseed","Extr. Rate, 999.9999",181,(PERCENT),2391,False
"Oil, Rapeseed",Feed Waste Dom. Cons.,161,(1000 MT),2454,True
"Oil, Rapeseed",Food Use Dom. Cons.,149,(1000 MT),2454,True
"Oil, Rapeseed",Imports,057,(1000 MT),2454,True
"Oil, Rapeseed",Industrial Dom. Cons.,140,(1000 MT),2454,True
"Oil, Rapeseed",Production,028,(1000 MT),2454,True
"Oil, Rapeseed",Total Distribution,178,(1000 MT),2454,True
"Oil, Rapeseed",Total Supply,086,(1000 MT),2454,True
"Oil, Soybean",Beginning Stocks,020,(1000 MT),4822,True
"Oil, Soybean",Crush,007,(1000 MT),4822,True
"Oil, Soybean",Domestic Consumption,125,(1000 MT),4822,True
"Oil, Soybean",Ending Stocks,176,(1000 MT),4822,True
"Oil, Soybean",Exports,088,(1000 MT),4822,True
"Oil, Soybean","Extr. Rate, 999.9999",181,(PERCENT),4759,False
"Oil, Soybean",Feed Waste Dom. Cons.,161,(1000 MT),4822,True
"Oil, Soybean",Food Use Dom. Cons.,149,(1000 MT),4822,True
"Oil, Soybean",Imports,057,(1000 MT),4822,True
"Oil, Soybean",Industrial Dom. Cons.,140,(1000 MT),4822,True
"Oil, Soybean",Production,028,(1000 MT),4822,True
